Switch: OS192_103 [ 1 ]

GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Conn Type  GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Speed    Protocol
01.02.73  192 01.02.73             N/A          Duplex     01.01.73  192 01.01.73             N/A          Unknown  Unknown
01.02.74  192 01.02.74             N/A          Duplex     01.01.74  192 01.01.74             N/A          Unknown  Unknown
01.02.75  192 01.02.75             N/A          Duplex     01.01.75  192 01.01.75             N/A          Unknown  Unknown
01.02.76  192 01.02.76             N/A          Duplex     01.01.76  192 01.01.76             N/A          Unknown  Unknown
01.02.77  192 01.02.77             N/A          Duplex     01.01.77  192 01.01.77             N/A          Unknown  Unknown
01.02.78  192 01.02.78             N/A          Duplex     01.01.78  192 01.01.78             N/A          Unknown  Unknown
01.02.79  192 01.02.79             N/A          Duplex     01.01.79  192 01.01.79             N/A          Unknown  Unknown
01.02.80  192 01.02.80             N/A          Duplex     01.01.80  192 01.01.80             N/A          Unknown  Unknown
01.02.81  192 01.02.81             N/A          Duplex     01.01.81  192 01.01.81             N/A          Unknown  Unknown
01.02.82  192 01.02.82             N/A          Duplex     01.01.82  192 01.01.82             N/A          Unknown  Unknown
01.02.83  192 01.02.83             N/A          Duplex     01.01.83  192 01.01.83             N/A          Unknown  Unknown
01.02.84  192 01.02.84             N/A          Duplex     01.01.84  192 01.01.84             N/A          Unknown  Unknown
01.02.85  192 01.02.85             N/A          Duplex     01.01.85  192 01.01.85             N/A          Unknown  Unknown
01.02.86  192 01.02.86             N/A          Duplex     01.01.86  192 01.01.86             N/A          Unknown  Unknown
01.02.87  192 01.02.87             N/A          Duplex     01.01.87  192 01.01.87             N/A          Unknown  Unknown
01.02.88  192 01.02.88             N/A          Duplex     01.01.88  192 01.01.88             N/A          Unknown  Unknown
01.02.89  192 01.02.89             N/A          Duplex     01.01.89  192 01.01.89             N/A          Unknown  Unknown
01.02.90  192 01.02.90             N/A          Duplex     01.01.90  192 01.01.90             N/A          Unknown  Unknown
01.02.91  192 01.02.91             N/A          Duplex     01.01.91  192 01.01.91             N/A          Unknown  Unknown
01.02.92  192 01.02.92             N/A          Duplex     01.01.92  192 01.01.92             N/A          Unknown  Unknown
01.02.93  192 01.02.93             N/A          Duplex     01.01.93  192 01.01.93             N/A          Unknown  Unknown
01.02.94  192 01.02.94             N/A          Duplex     01.01.94  192 01.01.94             N/A          Unknown  Unknown
01.02.95  192 01.02.95             N/A          Duplex     01.01.95  192 01.01.95             N/A          Unknown  Unknown
01.02.96  192 01.02.96             N/A          Duplex     01.01.96  192 01.01.96             N/A          Unknown  Unknown


