01.01.85,96,01,00,00,00,00,00,'OS-192 01.01.85'
01.01.86,96,01,00,00,00,00,00,'OS-192 01.01.86'
01.01.87,96,01,00,00,00,00,00,'OS-192 01.01.87'
01.01.88,96,01,00,00,00,00,00,'OS-192 01.01.88'
01.01.89,96,01,00,00,00,00,00,'OS-192 01.01.89'
01.01.90,96,01,00,00,00,00,00,'OS-192 01.01.90'
01.01.91,96,01,00,00,00,00,00,'OS-192 01.01.91'
01.01.92,96,01,00,00,00,00,00,'OS-192 01.01.92'
01.01.93,96,01,00,00,00,00,00,'OS-192 01.01.93'
01.01.94,96,01,00,00,00,00,00,'OS-192 01.01.94'
01.01.95,96,01,00,00,00,00,00,'OS-192 01.01.95'
01.01.96,96,01,00,00,00,00,00,'OS-192 01.01.96'
01.02.01,96,01,00,00,00,00,00,'OS-192 01.02.01'
01.02.02,96,01,00,00,00,00,00,'OS-192 01.02.02'
01.02.03,96,01,00,00,00,00,00,'OS-192 01.02.03'
01.02.04,96,01,00,00,00,00,00,'OS-192 01.02.04'
01.02.05,96,01,00,00,00,00,00,'OS-192 01.02.05'
01.02.06,96,01,00,00,00,00,00,'OS-192 01.02.06'
01.02.07,96,01,00,00,00,00,00,'OS-192 01.02.07'
01.02.08,96,01,00,00,00,00,00,'OS-192 01.02.08'
01.02.09,96,01,00,00,00,00,00,'OS-192 01.02.09'
01.02.10,96,01,00,00,00,00,00,'OS-192 01.02.10'
01.02.11,96,01,00,00,00,00,00,'OS-192 01.02.11'
01.02.12,96,01,00,00,00,00,00,'OS-192 01.02.12'
01.02.13,96,01,00,00,00,00,00,'OS-192 01.02.13'
01.02.14,96,01,00,00,00,00,00,'OS-192 01.02.14'
01.02.15,96,01,00,00,00,00,00,'OS-192 01.02.15'
01.02.16,96,01,00,00,00,00,00,'OS-192 01.02.16'
01.02.17,96,01,00,00,00,00,00,'OS-192 01.02.17'
01.02.18,96,01,00,00,00,00,00,'OS-192 01.02.18'
01.02.19,96,01,00,00,00,00,00,'OS-192 01.02.19'
01.02.20,96,01,00,00,00,00,00,'OS-192 01.02.20'
01.02.21,96,01,00,00,00,00,00,'OS-192 01.02.21'
01.02.22,96,01,00,00,00,00,00,'OS-192 01.02.22'
01.02.23,96,01,00,00,00,00,00,'OS-192 01.02.23'
01.02.24,96,01,00,00,00,00,00,'OS-192 01.02.24'
01.02.25,96,01,00,00,00,00,00,'OS-192 01.02.25'
01.02.26,96,01,00,00,00,00,00,'OS-192 01.02.26'
01.02.27,96,01,00,00,00,00,00,'OS-192 01.02.27'
01.02.28,96,01,00,00,00,00,00,'OS-192 01.02.28'
01.02.29,96,01,00,00,00,00,00,'OS-192 01.02.29'
01.02.30,96,01,00,00,00,00,00,'OS-192 01.02.30'
01.02.31,96,01,00,00,00,00,00,'OS-192 01.02.31'
01.02.32,96,01,00,00,00,00,00,'OS-192 01.02.32'
01.02.33,96,01,00,00,00,00,00,'OS-192 01.02.33'
01.02.34,96,01,00,00,00,00,00,'OS-192 01.02.34'
01.02.35,96,01,00,00,00,00,00,'OS-192 01.02.35'
01.02.36,96,01,00,00,00,00,00,'OS-192 01.02.36'
01.02.37,96,01,00,00,00,00,00,'OS-192 01.02.37'
01.02.38,96,01,00,00,00,00,00,'OS-192 01.02.38'
01.02.39,96,01,00,00,00,00,00,'OS-192 01.02.39'
01.02.40,96,01,00,00,00,00,00,'OS-192 01.02.40'
01.02.41,96,01,00,00,00,00,00,'OS-192 01.02.41'
01.02.42,96,01,00,00,00,00,00,'OS-192 01.02.42'
01.02.43,96,01,00,00,00,00,00,'OS-192 01.02.43'
01.02.44,96,01,00,00,00,00,00,'OS-192 01.02.44'
01.02.45,96,01,00,00,00,00,00,'OS-192 01.02.45'
01.02.46,96,01,00,00,00,00,00,'OS-192 01.02.46'
01.02.47,96,01,00,00,00,00,00,'OS-192 01.02.47'
01.02.48,96,01,00,00,00,00,00,'OS-192 01.02.48'
01.02.49,96,01,00,00,00,00,00,'OS-192 01.02.49'
01.02.50,96,01,00,00,00,00,00,'OS-192 01.02.50'
01.02.51,96,01,00,00,00,00,00,'OS-192 01.02.51'
01.02.52,96,01,00,00,00,00,00,'OS-192 01.02.52'
01.02.53,96,01,00,00,00,00,00,'OS-192 01.02.53'
01.02.54,96,01,00,00,00,00,00,'OS-192 01.02.54'
01.02.55,96,01,00,00,00,00,00,'OS-192 01.02.55'
01.02.56,96,01,00,00,00,00,00,'OS-192 01.02.56'
01.02.57,96,01,00,00,00,00,00,'OS-192 01.02.57'
01.02.58,96,01,00,00,00,00,00,'OS-192 01.02.58'
01.02.59,96,01,00,00,00,00,00,'OS-192 01.02.59'
01.02.60,96,01,00,00,00,00,00,'OS-192 01.02.60'
01.02.61,96,01,00,00,00,00,00,'OS-192 01.02.61'
01.02.62,96,01,00,00,00,00,00,'OS-192 01.02.62'
01.02.63,96,01,00,00,00,00,00,'OS-192 01.02.63'
01.02.64,96,01,00,00,00,00,00,'OS-192 01.02.64'
01.02.65,96,01,00,00,00,00,00,'OS-192 01.02.65'
01.02.66,96,01,00,00,00,00,00,'OS-192 01.02.66'
01.02.67,96,01,00,00,00,00,00,'OS-192 01.02.67'
01.02.68,96,01,00,00,00,00,00,'OS-192 01.02.68'
01.02.69,96,01,00,00,00,00,00,'OS-192 01.02.69'
01.02.70,96,01,00,00,00,00,00,'OS-192 01.02.70'
01.02.71,96,01,00,00,00,00,00,'OS-192 01.02.71'
01.02.72,96,01,00,00,00,00,00,'OS-192 01.02.72'
01.02.73,96,01,00,00,00,00,00,'OS-192 01.02.73'
01.02.74,96,01,00,00,00,00,00,'OS-192 01.02.74'
01.02.75,96,01,00,00,00,00,00,'OS-192 01.02.75'
01.02.76,96,01,00,00,00,00,00,'OS-192 01.02.76'
01.02.77,96,01,00,00,00,00,00,'OS-192 01.02.77'
01.02.78,96,01,00,00,00,00,00,'OS-192 01.02.78'
01.02.79,96,01,00,00,00,00,00,'OS-192 01.02.79'
01.02.80,96,01,00,00,00,00,01,'OS-192 01.02.80'
01.02.81,96,01,00,00,00,00,00,'OS-192 01.02.81'
01.02.82,96,01,00,00,00,00,00,'OS-192 01.02.82'
01.02.83,96,01,00,00,00,00,00,'OS-192 01.02.83'
01.02.84,96,01,00,00,00,00,01,'OS-192 01.02.84'
01.02.85,96,01,00,00,00,00,00,'OS-192 01.02.85'
01.02.86,96,01,00,00,00,00,00,'OS-192 01.02.86'
01.02.87,96,01,00,00,00,00,00,'OS-192 01.02.87'
01.02.88,96,01,00,00,00,00,00,'OS-192 01.02.88'
01.02.89,96,01,00,00,00,00,00,'OS-192 01.02.89'
01.02.90,96,01,00,00,00,00,00,'OS-192 01.02.90'
01.02.91,96,01,00,00,00,00,00,'OS-192 01.02.91'
01.02.92,96,01,00,00,00,00,00,'OS-192 01.02.92'
01.02.93,96,01,00,00,00,00,00,'OS-192 01.02.93'
01.02.94,96,01,00,00,00,00,00,'OS-192 01.02.94'
01.02.95,96,01,00,00,00,00,00,'OS-192 01.02.95'
01.02.96,96,01,00,00,00,00,00,'OS-192 01.02.96'
