01.01.01,79,01,00,00,00,00,00,'01.01.01-6880-1-te5.4'
01.01.02,79,01,00,00,00,00,00,'01.01.02-6880-1-te5.5'
01.01.03,79,01,00,00,00,00,00,'01.01.03-6880-1-te5.6'
01.01.04,79,01,00,00,00,00,00,'01.01.04-6880-2-te5.4'
01.01.05,86,01,00,00,00,00,00,'01.01.05-3750-1-g1.4'
01.01.06,86,01,00,00,00,00,00,'01.01.06-3750-2-g1.3'
01.01.07,79,01,00,00,00,00,00,'01.01.07-4506e-1-g3.2'
01.01.08,79,01,00,00,00,00,00,'01.01.08-4506e-2-g3.2'
01.01.09,86,01,00,00,00,00,00,'01.01.09-3750-2-g1.1'
01.01.10,86,01,00,00,00,00,00,'01.01.10-3750-2-g1.2'
01.01.11,79,01,00,00,00,00,00,'01.01.11-4506e-1-g3.1'
01.01.12,79,01,00,00,00,00,00,'01.01.12-4506e-2-g3.1'
01.01.13,86,01,00,00,00,00,00,'01.01.13-3750-1-g1.1'
01.01.14,86,01,00,00,00,00,00,'01.01.14-3750-1-g1.2'
01.01.15,90,01,00,00,00,00,00,'01.01.15-5K-3-E1.7'
01.01.16,79,01,00,00,00,00,00,'01.01.16-5K-3-E1.8'
01.01.17,90,01,00,00,00,00,00,'01.01.17'
01.01.18,79,01,00,00,00,00,01,'01.01.18'
01.01.19,79,01,00,00,00,00,01,'01.01.19'
01.01.20,90,01,00,00,00,00,01,'01.01.20'
01.01.21,79,01,00,00,00,00,00,'01.01.21'
01.01.22,79,01,00,00,00,00,01,'01.01.22'
01.01.23,79,01,00,00,00,00,01,'01.01.23'
01.01.24,79,01,00,00,00,00,01,'01.01.24'
01.01.25,90,01,00,00,00,00,00,'01.01.25'
01.01.26,90,01,00,00,00,00,01,'01.01.26'
01.01.27,90,01,00,00,00,00,01,'01.01.27'
01.01.28,90,01,00,00,00,00,01,'01.01.28'
01.01.29,90,01,00,00,00,00,00,'01.01.29'
01.01.30,90,01,00,00,00,00,01,'01.01.30'
01.01.31,90,01,00,00,00,00,01,'01.01.31'
01.01.32,90,01,00,00,00,00,01,'01.01.32'
01.01.33,79,01,00,00,00,00,00,'01.01.33-5K-4-E1.7'
01.01.34,79,01,00,00,00,00,00,'01.01.34-5K-4-E1.8'
01.01.35,79,01,00,00,00,00,00,'01.01.35-6509e-1-g9.3'
01.01.36,79,01,00,00,00,00,00,'01.01.36 6509e-1-g9.4'
01.01.37,79,01,00,00,00,00,00,'01.01.37-6509e-2-g9.3'
01.01.38,79,01,00,00,00,00,00,'01.01.38-6509e-2-g9.4'
01.01.39,86,01,00,01,00,00,00,'01.01.39-2951-1-g0.0'
01.01.40,79,01,00,00,00,00,00,'01.01.40-ISR2951-1-g0.1'
01.01.41,86,01,00,00,00,00,00,'01.01.41'
01.01.42,79,01,00,00,00,00,00,'01.01.42-2951-2-g0.1'
01.01.43,90,01,00,00,00,00,00,'01.01.43-Riverbed-SH7055-1-w2_0'
01.01.44,90,01,00,00,00,00,00,'01.01.44-Riverbed-SH7055-1-w3_0'
01.01.45,90,01,00,00,00,00,00,'01.01.45-Riverbed-SH7055-2-w2_0'
01.01.46,90,01,00,00,00,00,00,'01.01.46-Riverbed-SH7055-2-w3_0'
